"player","score","minutes","pm","tags","pops","grabs","drops","hold","captures","prevent","returns","pups","pupscomp","flaccids","longholds","handoff","goodhandoff","goregrab","coregrab","gohandoff","cohandoff","retinbase","quickret","saves","holdagainst","season","scpm","success_rate","tpm","poppm","droppm","gpm","hpm","cpm","ppm","rpm","pupm","kdr","limp","LHpm","handpm","GHpm","gorepm","corepm","copm","inbasepm","quickpm","savepm","HApm","cap_per","position"
"Ball-erina",1043,276,45,168,451,452,393,2787,51,453,104,70,576,148,26,97,49,93,12,34,3,30,30,0,5574,"21",3.77898550724638,0.16304347826087,0.608695652173913,1.63405797101449,1.42391304347826,1.63768115942029,10.0978260869565,0.184782608695652,1.64130434782609,0.376811594202899,0.253623188405797,0.372505543237251,0.536231884057971,0.0942028985507246,0.351449275362319,0.177536231884058,0.33695652173913,0.0434782608695652,0.0108695652173913,0.108695652173913,0.108695652173913,0,20.195652173913,11.283185840708,"Offense"
"Cheetosrule",898,280,-1,236,473,416,380,2601,32,948,180,79,576,138,22,111,75,72,7,34,2,60,51,4,6597,"21",3.20714285714286,-0.00357142857142857,0.842857142857143,1.68928571428571,1.35714285714286,1.48571428571429,9.28928571428571,0.114285714285714,3.38571428571429,0.642857142857143,0.282142857142857,0.498942917547569,0.492857142857143,0.0785714285714286,0.396428571428571,0.267857142857143,0.257142857142857,0.025,0.00714285714285714,0.214285714285714,0.182142857142857,0.0142857142857143,23.5607142857143,7.69230769230769,"Offense"
"protag",923,280,12,193,528,484,427,2857,49,563,131,68,576,138,21,120,85,111,15,31,4,34,30,1,7327,"21",3.29642857142857,0.0428571428571429,0.689285714285714,1.88571428571429,1.525,1.72857142857143,10.2035714285714,0.175,2.01071428571429,0.467857142857143,0.242857142857143,0.365530303030303,0.492857142857143,0.075,0.428571428571429,0.303571428571429,0.396428571428571,0.0535714285714286,0.0142857142857143,0.121428571428571,0.107142857142857,0.00357142857142857,26.1678571428571,10.1239669421488,"Offense"
"Olivia Hye",1007,240,2,178,387,371,330,2624,38,632,144,79,504,105,27,92,60,85,12,34,1,42,39,1,5582,"21",4.19583333333333,0.00833333333333333,0.741666666666667,1.6125,1.375,1.54583333333333,10.9333333333333,0.158333333333333,2.63333333333333,0.6,0.329166666666667,0.459948320413437,0.4375,0.1125,0.383333333333333,0.25,0.354166666666667,0.05,0.00416666666666667,0.175,0.1625,0.00416666666666667,23.2583333333333,10.2425876010782,"Offense"
"intercest",892,280,-33,282,447,348,320,2294,26,760,206,71,576,108,25,92,61,75,7,39,2,51,47,6,7567,"21",3.18571428571429,-0.117857142857143,1.00714285714286,1.59642857142857,1.14285714285714,1.24285714285714,8.19285714285714,0.0928571428571429,2.71428571428571,0.735714285714286,0.253571428571429,0.630872483221476,0.385714285714286,0.0892857142857143,0.328571428571429,0.217857142857143,0.267857142857143,0.025,0.00714285714285714,0.182142857142857,0.167857142857143,0.0214285714285714,27.025,7.47126436781609,"Offense"
"First",760,240,-9,195,353,286,262,1686,20,1004,165,52,486,96,15,62,37,43,5,23,2,48,46,1,6301,"21",3.16666666666667,-0.0375,0.8125,1.47083333333333,1.09166666666667,1.19166666666667,7.025,0.0833333333333333,4.18333333333333,0.6875,0.216666666666667,0.552407932011331,0.4,0.0625,0.258333333333333,0.154166666666667,0.179166666666667,0.0208333333333333,0.00833333333333333,0.2,0.191666666666667,0.00416666666666667,26.2541666666667,6.99300699300699,"Offense"
"#SelfySyntax",537,200,-22,135,373,320,295,1488,23,656,100,44,396,143,11,75,43,67,2,32,3,29,28,4,5058,"21",2.685,-0.11,0.675,1.865,1.475,1.6,7.44,0.115,3.28,0.5,0.22,0.361930294906166,0.715,0.055,0.375,0.215,0.335,0.01,0.015,0.145,0.14,0.02,25.29,7.1875,"Offense"
"ez",772,200,19,183,295,267,235,1588,32,760,125,65,396,87,10,95,67,56,8,28,4,54,40,2,5014,"21",3.86,0.095,0.915,1.475,1.175,1.335,7.94,0.16,3.8,0.625,0.325,0.620338983050847,0.435,0.05,0.475,0.335,0.28,0.04,0.02,0.27,0.2,0.01,25.07,11.9850187265918,"Offense"
"Fender",490,120,-12,114,211,196,175,1327,20,271,81,35,216,58,15,40,26,43,5,23,1,27,20,0,2803,"21",4.08333333333333,-0.1,0.95,1.75833333333333,1.45833333333333,1.63333333333333,11.0583333333333,0.166666666666667,2.25833333333333,0.675,0.291666666666667,0.540284360189573,0.483333333333333,0.125,0.333333333333333,0.216666666666667,0.358333333333333,0.0416666666666667,0.00833333333333333,0.225,0.166666666666667,0,23.3583333333333,10.2040816326531,"Offense"
"BALLDON'TLIE",1058,280,17,238,488,452,400,2960,49,746,183,82,612,147,29,94,59,96,11,48,5,64,57,1,7203,"22",3.77857142857143,0.0607142857142857,0.85,1.74285714285714,1.42857142857143,1.61428571428571,10.5714285714286,0.175,2.66428571428571,0.653571428571429,0.292857142857143,0.487704918032787,0.525,0.103571428571429,0.335714285714286,0.210714285714286,0.342857142857143,0.0392857142857143,0.0178571428571429,0.228571428571429,0.203571428571429,0.00357142857142857,25.725,10.8407079646018,"Offense"
"Mr. Hat",1061,280,-40,282,596,557,512,3202,39,792,199,116,612,187,29,136,88,110,6,68,7,75,57,3,7416,"22",3.78928571428571,-0.142857142857143,1.00714285714286,2.12857142857143,1.82857142857143,1.98928571428571,11.4357142857143,0.139285714285714,2.82857142857143,0.710714285714286,0.414285714285714,0.473154362416107,0.667857142857143,0.103571428571429,0.485714285714286,0.314285714285714,0.392857142857143,0.0214285714285714,0.025,0.267857142857143,0.203571428571429,0.0107142857142857,26.4857142857143,7.00179533213645,"Offense"
"#SelfySyntax",409,140,-1,99,204,184,168,1087,16,436,61,34,306,66,8,46,31,48,5,16,0,16,14,1,3935,"22",2.92142857142857,-0.00714285714285714,0.707142857142857,1.45714285714286,1.2,1.31428571428571,7.76428571428571,0.114285714285714,3.11428571428571,0.435714285714286,0.242857142857143,0.485294117647059,0.471428571428571,0.0571428571428571,0.328571428571429,0.221428571428571,0.342857142857143,0.0357142857142857,0,0.114285714285714,0.1,0.00714285714285714,28.1071428571429,8.69565217391304,"Offense"
